Age,Gender,total_runners,avg_finish_secs,fastest_secs
14,F,393,22715,11808
15,F,446,23470,12987
16,F,464,22089,10613
17,F,584,22154,12077
18,F,42801,16489,8498
19,F,560,17806,11361
20,F,10648,17489,8404
21,F,1014,17473,10046
22,F,2031,16836,8819
23,F,3605,16497,8367
24,F,3120,16965,8735
25,F,19366,16966,8058
26,F,4530,17297,8690
27,F,4554,17114,8619
28,F,4480,17274,8603
29,F,4539,17450,8690
30,F,21003,17236,8024
31,F,4372,17624,8794
32,F,4090,17793,8749
33,F,3827,17817,8610
34,F,3798,17819,8364
35,F,21836,17102,8591
36,F,3729,18085,8755
37,F,3599,17937,8686
38,F,3617,18034,8947
39,F,4019,18076,9122
40,F,43754,17730,8577
41,F,3686,18170,9345
42,F,3707,18108,8656
43,F,3419,18228,7823
44,F,3352,18341,9053
45,F,32041,17190,9086
46,F,2880,18374,9320
47,F,2777,18532,9888
48,F,2666,18584,10025
49,F,2701,18625,10849
50,F,27481,18316,9335
51,F,2204,18765,10467
52,F,2092,19009,10731
53,F,1889,19170,9874
54,F,1637,19214,10960
55,F,14787,18465,9927
56,F,1403,19230,10476
57,F,1180,19538,11012
58,F,1118,19586,10904
59,F,1003,19585,11420
60,F,8346,19461,10183
61,F,730,19893,11533
62,F,628,20075,11861
63,F,518,20393,10598
64,F,402,20370,12530
65,F,2929,20287,11658
66,F,301,21138,12002
67,F,240,21462,12603
68,F,175,21685,13902
69,F,140,21980,14940
70,F,974,21466,12500
71,F,89,22553,13660
72,F,74,22969,14749
73,F,42,22951,14033
74,F,36,23767,14173
75,F,241,24055,12795
76,F,30,23809,17001
77,F,26,24437,17068
78,F,24,24583,18025
79,F,12,27385,19487
80,F,57,25726,17422
81,F,12,30351,20611
82,F,4,34377,25479
83,F,2,30757,25348
84,F,2,28385,27881
85,F,2,23057,19298
86,F,1,28886,28886
90,F,1,40789,40789
14,M,616,19803,9589
15,M,678,20525,11216
16,M,690,18993,10001
17,M,853,19207,10078
18,M,58695,14706,7554
19,M,1244,15990,9242
20,M,19398,16028,7235
21,M,1949,15792,8529
22,M,4728,15087,8694
23,M,7221,14795,7607
24,M,4434,15517,8008
25,M,26187,15406,7489
26,M,5621,15620,7724
27,M,6049,15556,7595
28,M,6313,15548,7599
29,M,6657,15656,7617
30,M,39363,15464,7442
31,M,6863,15603,7828
32,M,7198,15592,7498
33,M,7130,15627,7721
34,M,7140,15563,7821
35,M,44471,14960,7449
36,M,6887,15484,7719
37,M,6902,15433,7754
38,M,6679,15579,7854
39,M,6932,15693,7797
40,M,82301,16398,7835
41,M,6306,15771,8455
42,M,6311,15830,8801
43,M,5860,15777,8250
44,M,5510,15883,8798
45,M,53969,15074,8326
46,M,5020,16058,9125
47,M,4749,16194,9208
48,M,4568,16352,8870
49,M,4464,16309,9374
50,M,55963,16712,8738
51,M,4328,16433,9448
52,M,4177,16684,9001
53,M,3744,16691,9597
54,M,3364,16859,9039
55,M,29249,16203,9340
56,M,2886,17175,10187
57,M,2564,17271,10437
58,M,2258,17427,10077
59,M,2058,17413,9899
60,M,20244,17762,9856
61,M,1763,17670,10318
62,M,1495,18004,10288
63,M,1283,18221,10790
64,M,1101,18519,10871
65,M,7995,18198,10336
66,M,854,18896,11302
67,M,690,19208,11064
68,M,573,19560,10798
69,M,463,19872,12472
70,M,3324,19792,10558
71,M,333,20038,12694
72,M,257,20454,12281
73,M,215,20805,12632
74,M,174,21555,13097
75,M,911,21484,11821
76,M,120,22173,14648
77,M,79,22397,14050
78,M,54,22663,13535
79,M,29,22631,15650
80,M,225,24352,12733
81,M,34,25012,16934
82,M,13,25859,20234
83,M,17,24018,17007
84,M,17,26460,17140
85,M,25,30537,14268
86,M,5,33402,23969
87,M,2,39494,35183
88,M,2,29487,27134
89,M,2,25482,24844
90,M,122,20677,11587
