Race,Year,total_finishers,avg_finish_secs,avg_finish_hours,fastest_secs,bq_qualify_pct
Boston Marathon,2023,26598,13351,3.71,7554,50.42
Boston Marathon,2024,25501,13986,3.88,7577,37.41
Jack and Jill Downhill Marathon,2024,698,14739,4.09,9311,30.37
Carmel Marathon,2023,933,14696,4.08,8965,21.22
Rotterdam Marathon,2023,9881,14107,3.92,8322,20.97
Carmel Marathon,2024,1441,14640,4.07,9205,20.96
Mainova Frankfurt Marathon,2023,9678,14162,3.93,7493,20.6
Amsterdam Marathon,2023,8711,14354,3.99,9076,20.03
Grandma's Marathon,2023,6676,15231,4.23,7754,19.85
Chicago Marathon,2023,48099,15644,4.35,7235,19.48
Amsterdam Marathon,2022,7809,14494,4.03,8230,18.48
Gold Coast Marathon,2023,5957,14671,4.08,7660,17.58
Houston Marathon,2024,7155,15203,4.22,7599,17.47
Mainova Frankfurt Marathon,2022,7909,14651,4.07,7571,17.25
Detroit Free Press Marathon,2023,1313,13335,3.7,8571,16.83
Toronto Waterfront Marathon,2022,3376,14828,4.12,7638,16.62
London Marathon,2024,53833,16064,4.46,8067,16.47
Grandma's Marathon,2024,7521,15334,4.26,7854,16.42
Chicago Marathon,2022,39112,16139,4.48,7464,15.44
Dublin Marathon,2023,12951,15287,4.25,8041,15.37
Houston Marathon,2023,6093,15552,4.32,7836,15.36
Vienna City Marathon,2024,7460,14405,4,7595,15.36
Taipei Marathon,2023,8084,14478,4.02,8054,15.23
London Marathon,2023,48692,16025,4.45,7998,15.07
Haspa Marathon Hamburg,2023,8632,14639,4.07,7449,14.56
Melbourne Marathon,2022,6208,14511,4.03,7752,14.11
Toronto Marathon,2024,2468,14910,4.14,8971,14.02
Philadelphia Marathon,2022,8410,15283,4.25,8060,13.97
Vienna City Marathon,2023,6650,14908,4.14,7508,13.68
Toronto Waterfront Marathon,2023,4445,14952,4.15,7760,13.5
Toronto Marathon,2023,2100,15025,4.17,9295,13.38
MARATON DE LIMA - LIMA 42K,2024,2916,14768,4.1,7908,13.2
Philadelphia Marathon,2023,11385,15308,4.25,8066,13.18
Taipei Marathon,2022,7815,14700,4.08,9036,12.99
Dublin Marathon,2022,14845,15461,4.29,7890,12.85
Maratona Di Roma,2024,7476,15353,4.26,7584,12.76
Ottawa Marathon,2023,2306,15162,4.21,8885,12.71
Richmond Marathon,2023,4020,15693,4.36,8658,12.69
Shamrock Marathon,2023,1690,15884,4.41,9277,12.49
Melbourne Marathon,2023,7930,14627,4.06,8074,12.45
London Marathon,2022,40619,16574,4.6,8315,12.31
Rimi Riga Marathon,2023,1292,14514,4.03,8743,11.92
Edinburgh Marathon,2023,3726,15799,4.39,8576,11.41
Ottawa Marathon,2024,4754,15314,4.25,7960,11.13
White Nights Marathon,2023,3325,14667,4.07,8015,11.07
Run in Lyon Marathon,2023,2822,14305,3.97,8716,10.88
RnR Madrid Marathon,2023,7387,14611,4.06,8842,10.68
RnR Madrid Marathon,2024,9102,14529,4.04,8691,10.67
Rotorua Marathon,2024,1151,16866,4.69,8628,10.51
Shamrock Marathon,2024,1999,16267,4.52,8906,10.11
Moscow Marathon,2023,12382,14890,4.14,8039,9.19
Moscow Marathon,2022,11070,14824,4.12,8077,9.05
Rimi Riga Marathon,2024,1815,15129,4.2,8506,8.93
Maraton de Santiago,2023,3014,15625,4.34,7961,8.79
Stockholm Marathon,2023,12711,15565,4.32,7832,8.64
NYC Marathon,2023,51246,16803,4.67,7498,8.4
Vancouver Marathon,2023,4875,15439,4.29,8224,8.31
Vancouver Marathon,2024,5956,15300,4.25,8564,8.14
Run in Lyon Marathon,2022,1910,14682,4.08,8461,8.12
Sydney Running Festival,2022,3440,15162,4.21,7622,8.08
Detroit Free Press Marathon,2022,2269,16145,4.48,8668,7.98
Surf City Marathon,2024,1544,16337,4.54,9152,7.12
Publix Florida Marathon,2023,213,17319,4.81,10884,7.04
Surf City Marathon,2023,1248,16641,4.62,8940,6.89
Dallas Marathon,2022,2464,16451,4.57,8820,6.62
Seven Bridges Marathon,2022,314,16677,4.63,10371,6.37
Memphis Marathon,2023,1916,16790,4.66,9019,6.32
Pittsburgh Marathon,2024,3576,16320,4.53,8150,6.32
Portland Marathon,2023,2248,16121,4.48,8871,6.18
Richmond Marathon,2022,3343,16981,4.72,8667,6.16
Memphis Marathon,2022,1764,16892,4.69,8779,6.07
Cowtown Marathon,2023,1264,17116,4.75,9134,5.93
Cape Town Marathon,2023,13326,16733,4.65,7888,5.73
Dallas Marathon,2023,3382,16464,4.57,8693,5.68
Flying Pig Marathon,2023,4496,17146,4.76,8830,5.65
RnR Montreal Marathon,2022,1735,15210,4.23,8255,5.65
Jerusalem Marathon,2023,800,16080,4.47,8292,5.63
Oklahoma City Marathon,2023,1792,16791,4.66,8715,5.58
Pittsburgh Marathon,2023,2981,16357,4.54,9331,5.54
Atlanta Marathon,2024,1566,16120,4.48,8938,5.43
Publix Florida Marathon,2024,221,17472,4.85,10385,5.43
NYC Marathon,2022,47692,17440,4.84,7721,5.39
Sydney Running Festival,2023,13251,16569,4.6,7699,5.33
Portland Marathon,2022,2301,16800,4.67,9449,5.13
Athens Marathon,2022,12532,16976,4.72,8623,4.81
Marine Corps Marathon,2022,11257,17280,4.8,8359,4.81
Cape Town Marathon,2022,9068,17169,4.77,7798,4.71
Flying Pig Marathon,2024,4037,17161,4.77,8761,4.58
RnR San Antonio,2022,1596,17326,4.81,9322,4.45
Atlanta Marathon,2023,1326,16711,4.64,9348,4.3
RnR Montreal Marathon,2023,2585,15432,4.29,9052,4.22
Cowtown Marathon,2024,1424,17593,4.89,8376,4.21
RnR San Diego,2024,5462,16684,4.63,9164,4.12
RnR San Diego,2023,4440,17071,4.74,8963,4.01
Oklahoma City Marathon,2024,1905,16746,4.65,9116,3.94
San Francisco Marathon,2023,4880,16333,4.54,7823,3.81
San Francisco Marathon,2024,5673,16320,4.53,8550,3.72
Seven Bridges Marathon,2023,474,16845,4.68,10309,3.38
RnR San Antonio,2023,1940,17572,4.88,9075,3.3
Marine Corps Marathon,2023,13709,17503,4.86,8987,3.08
Mexico City Marathon,2023,20118,17532,4.87,8620,2.99
LA Marathon,2024,19813,19137,5.32,8499,2.59
LA Marathon,2023,16453,19245,5.35,8522,2.24
Honolulu Marathon,2022,14193,22773,6.33,8847,1.3
Signapore Marathon,2022,5773,19729,5.48,8418,1.2
Signapore Marathon,2023,6720,19838,5.51,8055,1.18
Disney World Marathon,2024,12710,20853,5.79,8811,1.16
Honolulu Marathon,2023,14831,22579,6.27,8618,1.14
Disney World Marathon,2023,12693,21518,5.98,8811,0.8
Catalina Marathon,2024,429,21072,5.85,10129,0.7
Catalina Marathon,2023,385,22283,6.19,12453,0
Comrades Marathon,2023,10302,36695,10.19,19308,0
